arrival_wait_fraction_avg_percent,arrival_wait_fraction_max_percent,cache_available_ranks,cache_miss_rate_percent,cache_misses_total,cache_references_total,communication_avg_s,communication_fraction_avg_percent,communication_fraction_max_percent,communication_max_s,communication_plus_wait_fraction_avg_percent,communication_plus_wait_fraction_max_percent,compute_avg_s,compute_max_s,core_only,cycles_total,experiment,instructions_total,io_avg_s,io_counter_available_ranks,io_fraction_max_percent,io_max_s,ipc,local_volume_elements_avg,local_volume_elements_max,logical_read_total_bytes,logical_write_total_bytes,major_faults_total,minor_faults_total,peak_rss_avg_mib,peak_rss_max_mib,physical_read_total_bytes,physical_write_total_bytes,postprocess_avg_s,postprocess_max_s,processes,profile_coverage_percent,repeat,setup_avg_s,setup_max_s,source_file,synchronization_avg_s,synchronization_max_s,timestamp,total_wall_avg_s,total_wall_max_s,unprofiled_avg_s,unprofiled_max_s,volume_alltoall_max_s,volume_alltoall_p95_s,volume_alltoall_p99_s,volume_alltoall_wait_max_s,volume_alltoall_wait_p95_s,volume_alltoall_wait_p99_s,volume_directed_edges,volume_edge_density,volume_graph_capture,volume_imbalance_max_over_avg,volume_payload_max_s,volume_payload_p95_s,volume_payload_p99_s,volume_receive_bytes_avg,volume_receive_bytes_max,volume_receive_bytes_p95,volume_receive_bytes_p99,volume_receive_neighbors_avg,volume_receive_neighbors_max,volume_receive_neighbors_p95,volume_receive_neighbors_p99,volume_send_bytes_avg,volume_send_bytes_max,volume_send_bytes_p95,volume_send_bytes_p99,volume_send_neighbors_avg,volume_send_neighbors_max,volume_send_neighbors_p95,volume_send_neighbors_p99,volume_waitall_max_s,volume_waitall_p95_s,volume_waitall_p99_s
22.6204608662,35.3426499787,0,0,0,0,1.74334342355,1.29325927951,9.31565170763,12.962302538,23.9137201457,38.1229482477,14.2658850809,19.895396228,0,0,full_io,0,37.6896677904,1024,45.4986481786,63.309284339,0,2356607.5,3682816,1060557480,382032059464,20,256888267,1257.79393387,1649.484375,740667392,382136348672,8.53242625862,12.829957166,1024,86.2458491609,1,23.537172606,32.682570876,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_01_20260813-044212/run_summary.csv,30.4929044884,49.177678159,20260813-044212,134.80231313,139.145418322,18.5409134825,20.461638878,0.0109139249998,0.0104768899,0.0108348258499,23.106846641,17.3377339733,19.5149852944,6866,0.00655432856794,0,1.56276172422,0.110021911,0.0929027241999,0.10625372614,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.108379197,0.0910164172498,0.10472475737
23.0892881094,37.3318752178,0,0,0,0,1.92220771984,1.62255100468,9.19720950218,11.292813754,24.7118391141,39.7186618305,14.2528315172,18.043294921,0,0,full_io,0,37.5816827294,1024,49.0316880573,60.20366516,0,2356607.5,3682816,1060533189,382032059464,7588,282058227,1247.66277313,1623.3359375,3953688576,382137200640,8.58023651395,14.020786063,1024,95.3680526988,2,23.2904263434,24.877159569,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_02_20260813-044420/run_summary.csv,27.353474696,45.838024438,20260813-044420,118.468246255,122.785218183,5.48738673515,8.478495138,0.0643780989999,0.0630467682998,0.0632359517301,24.597142671,20.1022030403,22.5489351525,6866,0.00655432856794,0,1.56276172422,0.219938585,0.17499755755,0.18419320598,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.183315414,0.1579477446,0.16790084895
29.1712635141,49.9323492803,0,0,0,0,1.36024920189,0.929215443067,3.85966447438,5.820979086,30.1004789571,52.3218320845,16.3243991772,30.08382012,0,0,full_io,0,49.6680895011,1024,55.5102457077,83.718152567,0,2356607.5,3682816,1060555235,382032059465,13124,284317064,1240.74246979,1623.109375,10447396864,382142865408,8.54041236025,12.909828691,1024,96.9797752724,3,23.3695930651,24.556458159,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_03_20260813-044657/run_summary.csv,42.7028932948,75.305810338,20260813-044657,146.386848394,150.815676457,4.42121179314,10.383067171,0.0393593509998,0.0392856097997,0.0393175164,38.732969794,29.804884042,34.4013120636,6866,0.00655432856794,0,1.56276172422,0.298357269,0.1987679702,0.27759041492,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.281620535,0.17250529855,0.26526753269
20.2752147558,38.6081326707,0,0,0,0,4.37084381125,3.24728011396,10.6439827431,14.887539538,23.5224948698,41.8037313097,14.3419093882,20.087243489,0,0,full_io,0,45.9097854923,1024,52.6688435651,73.66692618,0,2356607.5,3682816,1060556882,382032059464,7276,277319243,1241.6558075,1625.57421875,6547800064,382134726656,8.5413375272,12.898749009,1024,92.0718993194,4,23.474566841,26.340260973,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_04_20260813-044951/run_summary.csv,27.2904688931,54.000472896,20260813-044951,134.600147134,139.868129227,10.671235181,19.324634507,0.0806950479996,0.0805243446,0.08055692483,32.568259795,27.0087459008,29.3691879704,6866,0.00655432856794,0,1.56276172422,0.164222584,0.14230399505,0.16001565811,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.131935174,0.1093307331,0.12374018131
26.8978704768,38.4672047892,0,0,0,0,16.256293836,10.8821848317,15.8815537422,25.100850267,37.7800553085,50.229321868,14.4433250022,25.213821025,0,0,full_io,0,39.4397375095,1024,41.5039780021,65.597179862,0,2356607.5,3682816,1060555133,382032059465,6335,277207784,1243.74355316,1627.99609375,5222236160,382135713792,8.57792307915,17.359734452,1024,95.3044247206,5,23.4714871948,28.013625212,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_05_20260813-045242/run_summary.csv,40.1812405136,60.797549363,20260813-045242,149.384467251,158.050343653,7.01446011547,9.816145278,4.903008399,4.89816936205,4.8983037637,26.434003194,20.3282485531,22.7671058705,6866,0.00655432856794,0,1.56276172422,0.218999514,0.15747645725,0.20948878901,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.213466559,0.12739444355,0.19076973502
28.7601510578,43.9092781421,0,0,0,0,1.05079774087,0.776779054364,3.98709850322,5.568759354,29.5369301121,44.2287099038,14.431040533,20.872613908,0,0,full_io,0,42.1045148193,1024,48.4355907414,67.649732955,0,2356607.5,3682816,1060556648,382032059464,6916,278008328,1246.69414139,1647.80078125,4923420672,382136422400,8.5373126853,12.873521307,1024,94.9613303758,6,23.4308211496,27.734702879,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p01024/repeat_06_20260813-045508/run_summary.csv,38.9056599668,61.32785613,20260813-045508,135.276271285,139.669470155,6.81612438992,8.208974096,0.0289424019998,0.0288255444499,0.0288698840998,30.153522737,25.3395534039,27.9075752042,6866,0.00655432856794,0,1.56276172422,0.202397952,0.14767447905,0.19350272182,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.200988473,0.1354114085,0.17663516516
24.3193660256,38.6465561795,0,0,0,0,1.58688704295,1.74916982904,8.35238860763,7.780593083,26.0685358546,40.7276123454,11.0508958486,13.685162699,0,0,full_io,0,23.9194546553,2048,46.383614635,43.208242354,0,1246533.5,1933824,2121109187,404567171599,0,327121870,771.245473862,973.578125,1465708544,404670373888,4.58683376279,6.987255548,2048,95.392902133,1,23.3354730279,25.895237931,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p02048/repeat_01_20260813-044240/run_summary.csv,22.0630874132,36.000854584,20260813-044240,90.7222967491,93.154107747,4.17966499843,5.328673079,0.0163280259999,0.0147601306999,0.0149169140799,16.510037369,12.9953033944,14.2097430763,13632,0.00325170981925,0,1.55136143553,0.0936010969999,0.0779966008999,0.08970619198,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0922705860003,0.0759993020002,0.0877412424501
23.5050029367,36.8435448282,0,0,0,0,1.77435198926,2.0639809024,9.91149862333,8.769528549,25.5689838391,40.0565345988,11.0544009807,13.705675894,0,0,full_io,0,22.508177954,2048,43.5614042629,38.542403408,0,1246533.5,1933824,2121040137,404567171599,0,326760639,770.913911819,972.41796875,9830400,404673167360,4.58228235917,7.046007452,2048,96.9877400206,2,23.2520304865,24.513631511,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p02048/repeat_02_20260813-044414/run_summary.csv,20.2066543687,32.598553508,20260813-044414,85.9674615786,88.478330899,2.5895634404,3.409619898,0.0520106399999,0.0205479286998,0.0206284671501,16.700995504,12.8549159099,13.8929253813,13632,0.00325170981925,0,1.55136143553,0.0944011840002,0.0779179364498,0.0898749827299,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0931176019999,0.0761549768501,0.0875397899
38.7864074744,52.255639804,0,0,0,0,2.34916653838,2.02553162199,12.4323645046,14.731477492,40.8119390964,53.1703389479,11.0677840355,13.709828736,0,0,full_io,0,27.2794593765,2048,58.2036274446,68.967204697,0,1246533.5,1933824,2121040382,404567171600,0,349820923,771.148794174,973.296875,4210688,404661833728,4.58021702122,7.027981662,2048,97.8859581577,3,23.2657178586,24.396977967,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p02048/repeat_03_20260813-044618/run_summary.csv,44.9836129902,61.919257702,20260813-044618,115.977776544,118.492966375,2.45181872389,3.319944714,0.0260590050002,0.0227490278499,0.0227772800803,41.124323607,37.1569894124,38.5691268976,13632,0.00325170981925,0,1.55136143553,0.091918391,0.0717488779,0.0845027668602,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0906915140004,0.06969598355,0.0827323130199
29.9639407291,43.75023668,0,0,0,0,2.74608878299,2.79577932236,9.02950711007,9.089710828,32.7597200515,46.4469809481,11.0601604062,13.811351226,0,0,full_io,0,24.592258598,2048,46.4146872515,46.724154502,0,1246533.5,1933824,2121041009,404567171599,3,336310073,770.655836105,973.7109375,9916416,404669755392,4.58476814762,7.000441129,2048,97.4122478477,4,23.2662445937,24.519736787,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/full_io/p02048/repeat_04_20260813-044804/run_summary.csv,29.4313792481,44.04193886,20260813-044804,98.2226587423,100.666744233,2.54175896564,5.424174096,1.104820504,1.0988743065,1.0989458962,22.066968853,18.1416731317,19.5373594478,13632,0.00325170981925,0,1.55136143553,0.16951529,0.0859219403001,0.16557825853,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.16646802,0.0785235790002,0.16191249174
