stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,4.874898113,4.874898113,4.874898113,1,0.671046222062,0,0,0,0,0,0,7164,0,1035100,0,9183232,0,0,0,0,0,0,0
coarse_local_size,setup,0.547807441,0.547807441,0.547807441,1,0.0754075480511,0,0,0,0,0,0,7937,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0142791530001,0.0142791530001,0.0142791530001,1,0.00196557373156,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.713187911,8.713187911,8.713187911,1,1.19939980165,0,0,0,0,0,0,14729,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.151246628,14.151246628,14.151246628,1,1.9479669866,0,0,0,0,0,0,29941,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.000125600999922,0.000125600999922,0.000125600999922,1,1.7289402677e-05,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.096610436,0.096610436,0.096610436,1,0.0132987534481,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00742116899994,0.00742116899994,0.00742116899994,1,0.00102154902631,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.174174676,0.174174676,0.174174676,1,0.0239757335639,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,1.68000008216e-06,1.68000008216e-06,1.68000008216e-06,1,2.31257696482e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000159122000014,0.000159122000014,0.000159122000014,1,2.19036817757e-05,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.047620381,0.047620381,0.047620381,1,0.00655510659351,0,0,0,0,0,0,738,0,0,0,0,0,1,1,4859624,4859624,4859624,4859624
face_global_merge,compute,0.0778562420001,0.0778562420001,0.0778562420001,1,0.0107171751793,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0
part_face_create,compute,0.045598403,0.045598403,0.045598403,1,0.00627677447937,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
surface_refine,compute,0.579136952,0.579136952,0.579136952,1,0.0797201612603,0,0,0,0,0,0,11825,0,0,0,0,0,0,0,0,0,0,0
refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local_volume_mesh,compute,591.61380753,591.61380753,591.61380753,1,81.4376426461,0,0,0,0,0,0,327776,0,0,0,0,0,0,0,0,0,0,0
volume_refine,compute,71.288260599,71.288260599,71.288260599,1,9.81307031315,0,0,0,0,0,0,2943517,0,0,0,0,0,0,0,0,0,0,0
refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjacency_build,compute,0.002483063,0.002483063,0.002483063,1,0.000341802024713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vertex_numbering_local,compute,0.30722089,0.30722089,0.30722089,1,0.0422899951536,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0
vertex_count_allgather,communication,8.43010000153e-05,8.43010000153e-05,8.43010000153e-05,1,1.16043179293e-05,0,0,0,0,0,0,7,0,0,0,0,0,1,1,4,4,4,4
