stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,2.217231927,2.217231927,2.217231927,1,0.308188731983,0,0,0,0,0,0,7067,0,1035100,0,12951552,0,0,0,0,0,0,0
coarse_local_size,setup,0.558764963,0.558764963,0.558764963,1,0.0776666903118,0,0,0,0,0,0,7523,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0158381870001,0.0158381870001,0.0158381870001,1,0.00220146152012,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.747286301,8.747286301,8.747286301,1,1.21584712928,0,0,0,0,0,0,19323,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.14675559,14.14675559,14.14675559,1,1.96635751717,0,0,0,0,0,0,33347,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.000212662000195,0.000212662000195,0.000212662000195,1,2.95593940277e-05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.115403962,0.115403962,0.115403962,1,0.0160408120962,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00796837399957,0.00796837399957,0.00796837399957,1,0.00110758060489,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.182179828,0.182179828,0.182179828,1,0.0253224615344,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,2.2600002012e-06,2.2600002012e-06,2.2600002012e-06,1,3.14133396606e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.00313743000015,0.00313743000015,0.00313743000015,1,0.000436093564078,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.0477573880003,0.0477573880003,0.0477573880003,1,0.00663813680085,0,0,0,0,0,0,738,0,0,0,0,0,1,1,4859624,4859624,4859624,4859624
face_global_merge,compute,0.0807492569998,0.0807492569998,0.0807492569998,1,0.011223909786,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
part_face_create,compute,0.047830769,0.047830769,0.047830769,1,0.0066483365445,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
surface_refine,compute,0.605138494,0.605138494,0.605138494,1,0.0841124750502,0,0,0,0,0,0,10873,0,0,0,0,0,0,0,0,0,0,0
refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local_volume_mesh,compute,590.223675526,590.223675526,590.223675526,1,82.0393590458,0,0,0,0,0,0,297709,0,0,0,0,0,0,0,0,0,0,0
volume_refine,compute,71.842561417,71.842561417,71.842561417,1,9.98590523432,0,0,0,0,0,0,2946339,1,0,0,0,0,0,0,0,0,0,0
refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjacency_build,compute,0.00303184800032,0.00303184800032,0.00303184800032,1,0.000421417975903,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vertex_numbering_local,compute,0.304583325,0.304583325,0.304583325,1,0.0423361884573,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0
vertex_count_allgather,communication,0.0148549779997,0.0148549779997,0.0148549779997,1,0.00206479835402,0,0,0,0,0,0,22,0,0,0,0,0,1,1,4,4,4,4
element_count_allgather,communication,1.35600002977e-05,1.35600002977e-05,1.35600002977e-05,1,1.88480025322e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4
vertex_exchange_prepare,compute,1.25999940792e-06,1.25999940792e-06,1.25999940792e-06,1,1.75136220572e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vertex_exchange,communication,0.00107305000074,0.00107305000074,0.00107305000074,1,0.000149150801527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vertex_exchange_unpack,compute,1.44000023283e-06,1.44000023283e-06,1.44000023283e-06,1,2.00155807071e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partition_result_io,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume_exchange_pack,compute,7.362898748,7.362898748,7.362898748,1,1.02342132153,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
volume_size_exchange,communication,4.79999471281e-07,4.79999471281e-07,4.79999471281e-07,1,6.6718518079e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume_payload_prepare,compute,1.79999915417e-07,1.79999915417e-07,1.79999915417e-07,1,2.50194600817e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume_payload_exchange,communication,0.000727427000129,0.000727427000129,0.000727427000129,1,0.000101110218579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
